Date,ID,Site,Flow,Temp,DO,Sat,pH,Cond,Cluster
5/16/2007,6,Sager's Lake Outlet,4.45,15.60,8.72,87.70,7.90,266.00,1
5/16/2007,7,Beauty Creek,1.34,15.90,8.82,85.30,7.66,801.00,0
5/16/2007,8,Pepper Creek,3.62,14.80,8.98,88.60,7.99,728.00,1
5/16/2007,9,Unnamed Tributary (Mallards Landing),0.59,15.20,9.15,91.00,8.10,664.00,1
5/16/2007,10,Butternut Springs Outlet,2.06,15.60,9.06,91.10,8.11,528.00,1
5/16/2007,11,Squirrel Creek,2.06,20.00,9.82,108.10,8.13,819.00,2
5/16/2007,12,Robbin's Ditch,1.33,16.50,7.60,77.90,7.72,1112.00,0
5/16/2007,13,Damon Run,12.52,16.40,9.89,101.20,7.86,704.00,1
5/16/2007,14,Salt Creek (Lenburg),81.91,16.80,7.37,76.10,7.91,758.00,0
5/22/2007,1,Lake Louise Outlet,1.73,12.91,7.76,74.60,7.69,846.00,0
5/22/2007,2,Clark Ditch,1.88,15.81,7.93,81.50,8.00,724.00,1
5/22/2007,3,Unnamed Tributary (Weblos),0.40,13.91,6.50,64.10,7.61,929.00,0
5/22/2007,4,Block Ditch,0.69,12.58,4.38,42.10,7.47,931.00,0
5/22/2007,5,Salt Creek Headwaters,4.66,14.11,6.86,67.70,7.79,699.00,0
5/22/2007,6,Sager's Lake Outlet,2.89,15.91,8.98,89.90,7.90,913.00,0
5/22/2007,7,Beauty Creek (avg),1.07,12.53,9.09,86.90,7.81,913.00,0
5/22/2007,8,Pepper Creek,2.19,14.11,8.95,89.20,8.10,823.00,1
5/22/2007,9,Unnamed Tributary (Mallards Landing),0.84,18.09,8.67,93.70,8.17,788.00,1
5/22/2007,10,Butternut Springs Outlet,0.91,16.37,8.73,91.20,8.27,651.00,1
5/22/2007,11,Squirrel Creek,0.67,23.62,8.84,102.50,8.05,858.00,2
5/22/2007,12,Robbin's Ditch,0.31,16.70,8.57,81.70,7.81,1480.00,0
5/22/2007,13,Damon Run,5.27,18.18,10.01,109.20,8.04,799.00,1
5/22/2007,14,Salt Creek (Lenburg),43.56,16.49,7.73,80.90,8.09,885.00,1
6/5/2007,1,Lake Louise Outlet,2.15,13.26,6.81,66.70,7.63,854.00,0
6/5/2007,2,Clark Ditch,2.62,15.83,7.13,73.80,7.99,757.00,0
6/5/2007,3,Unnamed Tributary (Weblos),0.51,15.19,5.07,51.90,7.58,955.00,0
6/5/2007,4,Block Ditch,0.46,12.66,4.64,44.80,7.47,911.00,0
6/5/2007,5,Salt Creek Headwaters,5.85,13.93,6.82,67.80,7.83,677.00,0
6/5/2007,6,Sager's Lake Outlet,4.66,17.03,7.34,77.90,7.89,896.00,0
6/5/2007,7,Beauty Creek,1.59,13.24,7.67,75.10,7.55,836.00,0
6/5/2007,8,Pepper Creek,2.78,14.38,8.05,80.80,8.19,821.00,1
6/5/2007,9,Unnamed Tributary (Mallards Landing),0.84,15.27,7.27,74.40,8.16,776.00,1
6/5/2007,10,Butternut Springs Outlet,10.04,16.24,7.90,82.50,8.33,640.00,1
6/5/2007,11,Squirrel Creek,1.00,22.48,9.63,114.10,8.49,894.00,2
6/5/2007,12,Robbin's Ditch (avg),0.45,15.69,7.67,79.30,8.19,1082.00,1
6/5/2007,13,Damon Run,5.63,16.58,7.68,80.80,8.00,778.00,1
6/5/2007,14,Salt Creek (Lenburg),56.66,17.64,7.03,75.60,8.17,864.00,1
6/19/2007,1,Lake Louise Outlet,1.92,15.07,7.41,75.50,7.50,845.00,0
6/19/2007,2,Clark Ditch,1.45,20.74,6.68,76.40,7.99,755.00,2
6/19/2007,3,Unnamed Tributary (Weblos),0.43,19.93,5.06,57.10,7.58,1042.00,2
6/19/2007,4,Block Ditch,1.31,16.27,4.17,43.60,7.38,899.00,2
6/19/2007,5,Salt Creek Headwaters,5.83,20.71,5.11,58.40,7.68,645.00,2
6/19/2007,6,Sager's Lake Outlet,5.31,22.00,7.19,84.30,7.81,794.00,2
6/19/2007,7,Beauty Creek,1.20,14.41,8.49,85.20,7.67,910.00,0
6/19/2007,8,Pepper Creek,2.02,16.86,8.29,87.70,8.05,785.00,1
6/19/2007,9,Unnamed Tributary (Mallards Landing),0.57,19.82,7.12,80.00,8.10,764.00,2
6/19/2007,10,Butternut Springs Outlet,0.82,21.66,7.67,89.30,8.26,614.00,2
6/19/2007,11,Squirrel Creek,2.12,26.66,9.03,115.60,8.13,905.00,2
6/19/2007,12,Robbin's Ditch (avg),4.29,22.51,5.77,68.30,7.64,735.00,2
6/19/2007,13,Damon Run,6.64,21.82,7.11,83.10,7.81,715.00,2
6/19/2007,14,Salt Creek (Lenburg),44.87,23.58,6.74,81.50,7.96,843.00,2
7/5/2007,1,Lake Louise Outlet,1.81,15.05,7.10,72.30,7.52,840.00,0
7/5/2007,2,Clark Ditch,1.08,20.62,7.11,81.20,8.04,783.00,2
7/5/2007,3,Unnamed Tributary (Weblos),0.31,18.88,5.66,62.50,7.60,1067.00,2
7/5/2007,4,Block Ditch,0.27,15.99,5.27,54.80,7.38,910.00,0
7/5/2007,5,Salt Creek Headwaters,3.38,19.08,5.87,64.90,7.68,652.00,2
7/5/2007,6,Sager's Lake Outlet,2.56,21.05,6.96,80.20,7.80,909.00,2
7/5/2007,7,Beauty Creek,1.29,14.49,8.67,87.30,7.66,913.00,0
7/5/2007,8,Pepper Creek (avg),1.90,16.78,8.39,88.60,8.06,797.00,1
7/5/2007,9,Unnamed Tributary (Mallards Landing),0.39,20.02,7.27,82.00,8.14,803.00,2
7/5/2007,10,Butternut Springs Outlet,0.53,21.83,7.71,90.10,8.25,609.00,2
7/5/2007,11,Squirrel Creek,0.12,24.12,8.48,104.70,7.98,756.00,2
7/5/2007,12,Robbin's Ditch,0.14,21.64,4.80,56.50,7.57,1103.00,2
7/5/2007,13,Damon Run,2.97,21.11,7.47,86.10,7.97,810.00,2
7/5/2007,14,Salt Creek (Lenburg),33.65,22.74,7.26,86.40,8.01,1028.00,2
7/17/2007,1,Lake Louise Outlet (Duplicate),2.21,14.64,7.13,72.00,7.54,842.00,0
7/17/2007,2,Clark Ditch,0.90,19.68,7.42,83.20,8.09,830.00,2
7/17/2007,3,Unnamed Tributary (Weblos),0.16,18.09,6.53,71.00,7.69,1149.00,2
7/17/2007,4,Block Ditch,0.80,16.00,4.58,47.60,7.41,915.00,2
7/17/2007,5,Salt Creek Headwaters,2.52,19.31,5.80,64.50,7.79,683.00,2
7/17/2007,6,Sager's Lake Outlet,1.92,20.17,7.39,83.70,7.86,947.00,2
7/17/2007,7,Beauty Creek,1.22,13.94,8.59,85.30,7.68,912.00,0
7/17/2007,8,Pepper Creek,1.75,15.89,8.59,89.00,8.08,776.00,1
7/17/2007,9,Unnamed Tributary (Mallards Landing),0.46,18.84,7.17,79.00,8.14,771.00,2
7/17/2007,10,Butternut Springs Outlet,0.94,20.11,7.69,87.00,8.29,608.00,2
7/17/2007,11,Squirrel Creek,0.06,16.08,5.04,52.40,7.36,715.00,2
7/17/2007,12,Robbin's Ditch,0.04,20.90,2.45,28.10,7.55,814.00,2
7/17/2007,13,Damon Run,2.01,19.01,6.51,72.10,7.85,699.00,2
7/17/2007,14,Salt Creek (Lenburg),26.34,20.82,7.56,86.80,8.18,975.00,2
7/24/2007,1,Lake Louise Outlet,2.26,14.32,7.53,75.60,7.58,849.00,0
7/24/2007,2,Clark Ditch,1.69,19.05,7.08,78.30,8.04,770.00,2
7/24/2007,3,Unnamed Tributary (Weblos),0.22,16.85,6.61,70.00,7.66,1061.00,0
7/24/2007,4,Block Ditch,0.86,14.74,4.90,49.60,7.45,932.00,0
7/24/2007,5,Salt Creek Headwaters,2.99,17.07,6.35,67.50,7.80,689.00,2
7/24/2007,6,Sager's Lake Outlet,1.73,19.44,7.24,80.80,7.92,894.00,2
7/24/2007,7,Beauty Creek (avg),1.03,13.54,8.71,85.90,7.71,915.00,0
7/24/2007,8,Pepper Creek,2.03,15.45,8.53,87.60,8.09,781.00,1
7/24/2007,9,Unnamed Tributary (Mallards Landing),0.55,17.49,7.68,82.40,8.16,796.00,1
7/24/2007,10,Butternut Springs Outlet,0.96,19.44,8.00,89.20,8.33,621.00,2
7/24/2007,11,Squirrel Creek,0.22,16.98,7.93,84.00,7.55,715.00,0
7/24/2007,12,Robbin's Ditch,0.14,19.17,4.11,45.70,7.82,1487.00,2
7/24/2007,13,Damon Run,3.74,18.19,7.77,84.60,7.98,838.00,1
7/24/2007,14,Salt Creek (Lenburg),35.06,19.86,7.54,84.80,8.20,958.00,2
5/22/2008,1,Lake Louise Outlet,1.66,14.43,10.22,102.70,7.80,844.50,0
5/22/2008,2,Clark Ditch,1.95,15.44,9.67,99.30,8.05,720.50,1
5/22/2008,3,Unnamed Tributary (Weblos),0.71,17.61,7.21,77.50,7.79,799.00,0
5/22/2008,4,Block Ditch,0.73,14.06,8.26,70.20,7.59,899.00,0
5/22/2008,5,Salt Creek Headwaters,7.05,18.05,8.45,91.60,7.93,803.00,1
5/22/2008,6,Sager's Lake Outlet,3.21,17.67,9.75,105.00,8.08,859.75,1
5/22/2008,7,Beauty Creek,1.37,13.90,8.91,88.50,7.83,778.50,0
5/22/2008,8,Pepper Creek,2.57,14.32,9.25,92.70,8.19,985.00,1
5/22/2008,9,Unnamed Tributary (Mallards Landing) avg,1.25,10.77,9.43,87.30,8.01,971.00,0
5/22/2008,10,Butternut Springs Outlet,1.48,14.85,9.40,95.40,8.34,711.00,1
5/23/2008,11,Squirrel Creek,0.84,15.28,8.68,88.90,8.05,846.00,1
5/23/2008,12,Robbin's Ditch,0.65,11.44,8.32,78.40,7.83,1142.00,0
5/23/2008,13,Damon Run,6.85,11.33,7.81,73.20,7.84,742.50,0
5/23/2008,14,Salt Creek (Lenburg),57.03,13.31,8.34,81.80,8.18,874.75,0
5/28/2008,1,Lake Louise Outlet,1.82,13.28,8.22,80.50,7.61,844.50,0
5/28/2008,2,Clark Ditch,1.77,12.53,9.31,89.70,8.01,720.50,1
5/28/2008,3,Unnamed Tributary (Weblos),0.79,14.39,7.33,73.60,7.77,799.00,0
5/28/2008,4,Block Ditch,0.77,11.50,6.67,63.70,7.64,899.00,0
5/28/2008,5,Salt Creek Headwaters,5.41,13.76,8.74,86.40,7.91,803.00,0
5/28/2008,6,Sager's Lake Outlet,3.07,15.69,9.53,98.50,8.10,859.75,1
5/28/2008,7,Beauty Creek,1.26,13.53,8.59,84.70,7.84,778.50,0
5/28/2008,8,Pepper Creek,2.42,14.61,9.41,94.90,8.08,985.00,1
5/28/2008,9,Unnamed Tributary (Mallards Landing),1.03,14.43,8.64,87.70,8.10,971.00,1
5/28/2008,10,Butternut Springs Outlet,1.29,15.31,9.09,93.00,8.24,711.00,1
5/28/2008,11,Squirrel Creek,0.56,18.56,10.95,119.80,8.51,846.00,1
5/29/2008,12,Robbin's Ditch,0.44,13.03,8.01,78.20,7.82,1142.00,0
5/28/2008,13,Damon Run,6.84,16.53,9.24,97.10,8.14,742.50,1
5/28/2008,14,Salt Creek (Lenburg),51.01,15.20,9.24,94.40,8.16,874.75,1
5/29/2008,90,Gustafson Ditch,0.11,12.65,10.14,97.90,7.63,386.50,0
6/6/2008,1,Lake Louise Outlet,3.55,17.37,6.00,64.20,7.37,741.00,2
6/6/2008,2,Clark Ditch,4.02,22.68,5.50,65.40,7.71,736.00,2
6/6/2008,3,Unnamed Tributary (Weblos),1.03,23.34,3.79,45.70,7.43,833.00,2
6/6/2008,4,Block Ditch,1.20,19.96,4.54,51.20,7.39,716.00,2
6/6/2008,5,Salt Creek Headwaters,7.73,23.33,5.55,66.70,7.67,614.00,2
6/6/2008,6,Sager's Lake Outlet,6.36,23.74,7.16,86.80,8.03,789.00,2
6/6/2008,7,Beauty Creek,1.29,20.17,7.39,83.70,7.86,947.00,2
6/6/2008,8,Pepper Creek,3.38,19.94,7.51,84.70,7.90,771.00,2
6/6/2008,9,Unnamed Tributary (Mallards Landing),1.09,21.97,6.02,70.60,7.96,735.00,2
6/6/2008,10,Butternut Springs Outlet,1.31,22.79,6.86,81.70,8.04,590.00,2
6/6/2008,11,Squirrel Creek,0.87,24.33,5.32,65.30,7.70,830.00,2
6/6/2008,12,Robbin's Ditch,1.20,20.87,3.85,44.20,7.42,1124.00,2
6/6/2008,13,Damon Run,6.70,21.48,6.32,73.40,7.71,760.00,2
6/6/2008,14,Salt Creek (Lenburg) (avg),76.63,21.43,6.27,72.75,7.84,741.00,2
6/6/2008,90,Gustafson Ditch,0.19,20.96,3.24,37.20,7.22,405.00,2
6/12/2008,1,Lake Louise Outlet,3.84,20.51,6.48,73.80,7.45,605.00,2
6/12/2008,2,Clark Ditch,3.85,24.03,5.80,70.70,7.75,680.00,2
6/12/2008,3,Unnamed Tributary (Weblos),0.79,25.36,2.78,34.70,7.31,797.00,2
6/12/2008,4,Block Ditch,1.08,20.93,7.14,82.10,7.52,825.00,2
6/12/2008,5,Salt Creek Headwaters,4.98,27.37,6.34,82.20,7.72,644.00,2
6/12/2008,6,Sager's Lake Outlet,3.48,25.61,7.55,94.80,7.98,792.00,2
6/12/2008,7,Beauty Creek,1.48,16.86,7.60,80.40,7.59,860.00,0
6/12/2008,8,Pepper Creek,1.45,17.81,7.69,83.00,7.88,778.00,0
6/12/2008,9,Unnamed Tributary (Mallards Landing),1.75,20.80,7.18,82.10,7.91,696.00,2
6/12/2008,10,Butternut Springs Outlet,1.52,21.25,7.45,86.10,8.05,594.00,2
6/12/2008,11,Squirrel Creek (avg),1.01,23.18,0.00,53.25,7.49,659.50,2
6/12/2008,12,Robbin's Ditch,0.42,18.85,3.30,36.50,7.42,1249.00,2
6/12/2008,13,Damon Run,7.90,19.65,6.42,71.90,7.66,741.00,2
6/12/2008,14,Salt Creek (Lenburg),72.49,20.55,6.62,75.60,7.87,748.00,2
6/12/2008,90,Gustafson Ditch,0.14,19.25,3.46,38.40,7.35,394.00,2
6/19/2008,1,Lake Louise Outlet,1.92,16.40,6.23,65.30,7.43,818.00,0
6/19/2008,2,Clark Ditch,1.62,19.98,7.31,82.40,7.95,754.00,2
6/19/2008,3,Unnamed Tributary (Weblos),0.51,21.84,4.95,57.90,7.50,912.00,2
6/19/2008,4,Block Ditch,0.37,15.81,7.08,73.30,7.47,838.00,0
6/19/2008,5,Salt Creek Headwaters,4.51,24.93,8.17,101.30,7.96,644.00,2
6/19/2008,6,Sager's Lake Outlet,2.73,23.79,7.96,96.60,8.07,851.00,2
6/19/2008,7,Beauty Creek,3.57,17.08,7.37,78.40,7.76,830.00,0
6/18/2008,8,Pepper Creek,2.28,17.01,8.25,87.60,7.92,758.00,1
6/18/2008,9,Unnamed Tributary (Mallards Landing),1.00,16.55,7.95,83.50,8.12,731.00,1
6/18/2008,10,Butternut Springs Outlet (avg),0.96,19.08,7.80,86.35,8.20,594.00,2
6/18/2008,11,Squirrel Creek,0.28,21.72,9.42,109.90,8.11,705.00,2
6/18/2008,12,Robbin's Ditch,0.20,15.80,3.91,40.50,7.61,1359.00,2
6/18/2008,13,Damon Run,6.00,16.55,7.16,75.30,7.82,760.00,0
6/18/2008,14,Salt Creek (Lenburg),34.87,17.56,7.07,75.90,8.00,858.00,0
6/18/2008,90,Gustafson Ditch,0.09,17.61,4.14,44.50,7.41,475.00,2
6/24/2008,1,Lake Louise Outlet,1.79,15.48,7.05,72.50,7.53,866.00,0
6/24/2008,2,Clark Ditch,1.55,19.63,7.83,87.70,8.08,886.00,2
6/24/2008,3,Unnamed Tributary (Weblos),0.31,20.70,5.41,61.90,7.61,1014.00,2
6/24/2008,4,Block Ditch,0.06,16.10,7.75,80.70,7.55,911.00,0
6/24/2008,5,Salt Creek Headwaters,4.04,24.51,8.35,102.70,8.01,686.00,2
6/24/2008,6,Sager's Lake Outlet,2.83,23.07,8.23,98.60,8.13,914.00,2
6/24/2008,7,Beauty Creek,3.74,15.66,8.00,82.60,7.78,883.00,0
6/24/2008,8,Pepper Creek,2.05,15.79,8.54,88.30,8.10,818.00,1
6/24/2008,9,Unnamed Tributary (Mallards Landing),0.74,17.10,8.08,86.00,8.17,806.00,1
6/24/2008,10,Butternut Springs Outlet,1.06,19.03,8.07,89.30,8.26,623.00,2
6/24/2008,11,Squirrel Creek,0.47,21.73,6.94,81.00,7.88,766.00,2
6/24/2008,12,Robbin's Ditch,0.19,15.74,3.55,36.80,7.43,1308.00,2
6/24/2008,13,Damon Run,5.03,16.78,7.83,82.70,7.90,814.00,0
6/24/2008,14,Salt Creek (Lenburg),44.54,17.52,7.35,78.90,8.09,966.00,0
6/24/2008,90,Gustafson Ditch,0.03,15.60,3.51,36.10,7.40,272.00,2
5/28/2009,1,Lake Louise Outlet,2.30,13.44,7.18,70.60,7.58,843.00,0
5/28/2009,2,Clark Ditch,2.66,16.50,7.60,79.80,7.94,717.00,0
5/28/2009,5,Salt Creek Headwaters,9.18,16.53,6.43,67.60,7.76,669.00,0
5/28/2009,6,Sager's Lake Outlet,4.97,17.98,8.40,90.90,8.18,867.00,1
5/28/2009,7,Beauty Creek,1.62,12.75,8.67,84.00,7.75,907.00,0
5/28/2009,8,Pepper Creek (avg),3.34,14.57,8.67,87.35,8.12,806.50,1
5/28/2009,10,Butternut Springs Outlet,1.34,15.91,7.51,77.80,8.18,644.00,1
5/28/2009,12,Robbin's Ditch,0.65,15.00,5.38,54.80,7.63,1147.00,0
5/28/2009,12,Robbin's Ditch (Duplicate),0.65,14.98,5.08,51.70,7.62,1154.00,0
5/28/2009,13,Damon Run,8.64,15.40,7.50,76.90,7.85,771.00,0
6/25/2009,1,Lake Louise Outlet,2.31,16.16,6.43,67.30,7.38,834.00,0
6/25/2009,2,Clark Ditch,1.66,21.76,6.45,75.00,7.78,804.00,2
6/25/2009,5,Salt Creek Headwaters,6.13,19.35,5.24,58.30,7.60,686.00,2
6/25/2009,6,Sager's Lake Outlet (Avg),3.81,22.73,6.45,76.65,7.86,864.50,2
6/25/2009,7,Beauty Creek,1.64,14.48,8.55,86.00,7.56,918.00,0
6/25/2009,8,Pepper Creek,2.42,19.47,7.80,87.30,7.91,800.00,2
6/25/2009,10,Butternut Springs Outlet,0.88,23.50,6.87,83.10,8.06,606.00,2
6/25/2009,12,Robbin's Ditch,0.22,21.41,5.56,64.50,7.59,1200.00,2
6/25/2009,13,Damon Run,7.92,23.88,6.18,75.10,7.64,723.00,2
7/23/2009,1,Lake Louise Outlet,2.22,14.46,7.29,73.30,7.66,868.00,0
7/23/2009,2,Clark Ditch,1.26,18.35,7.26,79.20,8.16,836.00,2
7/23/2009,5,Salt Creek Headwaters (avg),5.05,17.17,5.55,59.10,7.82,709.50,2
7/23/2009,6,Sager's Lake Outlet,3.45,19.80,6.87,77.20,8.05,886.00,2
7/23/2009,7,Beauty Creek,1.55,13.66,8.77,86.60,7.82,926.00,0
7/23/2009,8,Pepper Creek,2.15,16.14,8.75,91.30,8.22,803.00,1
7/23/2009,10,Butternut Springs Outlet,0.64,20.34,7.76,88.00,8.44,591.00,2
7/23/2009,12,Robbin's Ditch,0.05,18.26,4.13,45.10,7.79,1443.00,2
7/23/2009,13,Damon Run,3.86,19.31,7.20,80.20,8.12,823.00,2
7/29/2009,1,Lake Louise Outlet,1.94,15.15,6.90,70.40,7.59,859.00,0
7/29/2009,2,Clark Ditch,1.48,20.14,7.00,79.20,8.05,850.00,2
7/29/2009,5,Salt Creek Headwaters (avg),4.58,19.19,5.02,55.65,7.81,701.00,2
7/29/2009,6,Sager's Lake Outlet,5.90,21.94,6.86,80.40,8.09,851.00,2
7/29/2009,7,Beauty Creek,1.98,15.13,7.77,80.80,7.71,870.00,0
7/29/2009,8,Pepper Creek,2.40,17.93,8.24,89.40,8.17,768.00,1
7/29/2009,10,Butternut Springs Outlet,1.34,21.09,7.76,89.40,8.34,609.00,2
7/29/2009,12,Robbin's Ditch,1.18,21.86,6.20,72.60,7.72,783.00,2
7/29/2009,13,Damon Run,10.50,21.48,6.49,75.30,7.85,636.00,2
